Gravmap2019-grid-ausdrape_ellips_dx,Gravmap2019-grid-ausdrape_ellips_dy,Gravmap2019-grid-ausdrape_geoid_dx,Gravmap2019-grid-ausdrape_geoid_dy,Gravmap2019-grid-dem_ellips_dx,Gravmap2019-grid-dem_ellips_dy,Gravmap2019-grid-dem_geoid_dx,Gravmap2019-grid-dem_geoid_dy
3.6472661,1.57636,3.6167147,1.6013108,0.090809636,-0.048287794,0.060258463,-0.023336908
3.4946122,1.3577708,3.4632273,1.3830669,0.11003869,-0.2501487,0.07865394,-0.22485259
1.6158626,4.641656,1.5895823,4.665812,2.4243417,0.8686142,2.3980613,0.89276975
-4.1228485,2.3614373,-4.1135135,2.395632,-4.9430213,-1.5060923,-4.9336853,-1.4718972
-4.1064186,2.242816,-4.0960145,2.2777238,-5.061346,-1.6621703,-5.0509424,-1.6272628
-3.8188112,1.9321159,-3.8097656,1.9674337,-4.6869464,-2.0031102,-4.677901,-1.9677922
-3.9704149,2.0908918,-3.9604986,2.1260939,-5.097468,-2.4150496,-5.087551,-2.3798475
-3.7332733,1.5926945,-3.7227862,1.6291537,-4.782082,-2.3252482,-4.7715955,-2.288789
3.4946122,1.3577708,3.4632273,1.3830669,0.11003869,-0.2501487,0.07865394,-0.22485259
-3.8916216,1.7477981,-3.8798902,1.7843776,-5.421163,-2.7425148,-5.409431,-2.7059352
-3.8307467,1.8543572,-3.8208632,1.8901,-4.9941444,-2.2812774,-4.984261,-2.2455351
-3.9234061,1.8286811,-3.9118602,1.8650281,-5.38547,-2.6870418,-5.373924,-2.6506948
1.6715024,4.454566,1.6452503,4.4786997,2.7051885,1.1796511,2.6789372,1.2037851
1.7638233,4.2475657,1.7376204,4.2718163,2.4364922,1.3040589,2.410289,1.3283097
-0.6655166,2.0262344,-0.6893552,2.0550206,-0.98295945,0.90996724,-1.006798,0.9387533
4.094592,1.5021529,4.063855,1.5275817,0.40972584,-0.33246028,0.37898824,-0.30703157
1.5571898,4.693222,1.5308592,4.7170744,2.578893,0.15044674,2.5525625,0.17429934
-3.2436614,-3.1341956,-3.2227302,-3.1107464,-6.331416,-2.0975251,-6.3104844,-2.0740764
-3.1677408,-3.2688577,-3.1463008,-3.2460897,-6.4827976,-1.955389,-6.461357,-1.9326212
-3.1506732,-3.296288,-3.1291487,-3.2736595,-6.563572,-2.002725,-6.5420465,-1.9800965
-3.1408608,-3.3196359,-3.1192062,-3.2970982,-6.450394,-1.9347253,-6.428739,-1.9121875
-3.157522,-3.2927353,-3.1359484,-3.2700617,-6.4641213,-1.9264104,-6.442548,-1.9037374
-3.1263304,-3.3639073,-3.1043215,-3.3415055,-6.289076,-1.5583816,-6.267066,-1.5359799
-3.1708968,-3.2849853,-3.1491985,-3.2621882,-6.090686,-1.8405296,-6.0689874,-1.8177328
-3.252107,-3.1283734,-3.231141,-3.10484,-6.423979,-2.0732348,-6.4030128,-2.0497017
-3.3838384,-2.878593,-3.3639402,-2.8536606,-5.835878,-2.5632539,-5.81598,-2.5383208
-3.5475378,-2.6111555,-3.5286992,-2.5842083,-5.982221,-3.051326,-5.9633822,-3.024378
-3.4255965,-2.7795713,-3.4061067,-2.7541568,-6.394568,-3.2468348,-6.3750777,-3.2214203
-3.3838384,-2.878593,-3.3639402,-2.8536606,-5.835878,-2.5632539,-5.81598,-2.5383208
-3.4800222,-2.7019255,-3.4608517,-2.6758556,-6.0171127,-2.9342494,-5.9979415,-2.908179
-3.5478413,-2.5959828,-3.529091,-2.5690703,-5.8096323,-2.9431365,-5.790881,-2.9162238
-3.4155395,-2.8204114,-3.395887,-2.7951145,-6.0480657,-2.6530638,-6.028413,-2.627767
-3.2731497,-3.0799437,-3.2524335,-3.0562103,-5.9935493,-2.2305744,-5.9728336,-2.2068415
-3.4475381,-2.7611496,-3.4281251,-2.7354717,-6.1823297,-2.7718265,-6.1629176,-2.7461486
-3.2818906,-3.0734296,-3.2611513,-3.0496025,-6.208484,-2.3215933,-6.187745,-2.2977664
-3.4367065,-2.7701538,-3.4172602,-2.7446094,-6.2165637,-2.9583778,-6.1971173,-2.9328337
-0.14955541,0.28953636,-0.16586961,0.31572118,-0.864272,0.31656837,-0.8805863,0.34275314
3.717401,1.529936,3.6867516,1.5549536,0.13918944,-0.08943593,0.10853997,-0.06441831
1.9864963,3.6556835,1.9599032,3.6803427,2.2002242,1.8316982,2.173631,1.8563569
-0.3627853,2.046786,-0.38689452,2.0750668,-0.90981126,0.9661858,-0.93392056,0.9944665
-0.720213,0.59556556,-0.73836845,0.6234621,-1.1542145,0.37285596,-1.1723702,0.40075248
-0.25098276,0.38443807,-0.26688266,0.41015396,-0.8753784,0.41312793,-0.89127827,0.43884376
2.0789888,3.4421945,2.0522413,3.467062,2.0609639,1.9084498,2.0342164,1.9333173
1.9864963,3.6556835,1.9599032,3.6803427,2.2002242,1.8316982,2.173631,1.8563569
1.9307841,3.7751787,1.9042388,3.7997303,2.2714458,1.7150112,2.2449002,1.7395629
1.8150159,4.1012225,1.7887343,4.125541,2.2708006,1.4409771,2.2445192,1.4652951
3.3312125,1.3099933,3.2996738,1.3353426,0.1955162,-0.2046989,0.16397746,-0.1793495
3.0446284,2.7371173,3.0187063,2.7590983,-0.060516555,0.94280905,-0.08643887,0.96479
3.2623956,1.283932,3.2307744,1.3093133,0.23792686,-0.20317139,0.20630552,-0.17779024
